"Premises";"Conclusion";"Support";"Conclusion Premises:all";"Conclusion Premises:baking";"Conclusion Premises:black";"Conclusion Premises:butter";"Conclusion Premises:carrots";"Conclusion Premises:celery";"Conclusion Premises:cinnamon";"Conclusion Premises:cloves";"Conclusion Premises:cream";"Conclusion Premises:egg";"Conclusion Premises:flour";"Conclusion Premises:garlic";"Conclusion Premises:ground";"Conclusion Premises:honey";"Conclusion Premises:lemon";"Conclusion Premises:milk";"Conclusion Premises:oil";"Conclusion Premises:olive";"Conclusion Premises:onion";"Conclusion Premises:onions";"Conclusion Premises:paprika";"Conclusion Premises:parsley";"Conclusion Premises:pepper";"Conclusion Premises:powder";"Conclusion Premises:purpose";"Conclusion Premises:root";"Conclusion Premises:salt";"Conclusion Premises:sour";"Conclusion Premises:sugar";"Conclusion Premises:tomatoes";"Conclusion Premises:water"
"salt";"water";0.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20174926956806175;0.0;0.0;0.0;0.2027325540540822
"salt";"sugar";0.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20174926956806175;0.0;2.3820721893925274;0.0;0.0
"salt";"pepper";0.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20162649485903478;0.0;0.0;0.0;0.20174926956806175;0.0;0.0;0.0;0.0
"sugar";"flour";0.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.4655992317241107;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.3820721893925274;0.0;0.0
"salt";"butter";0.2;0.0;0.0;0.0;2.748256136249141;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20174926956806175;0.0;0.0;0.0;0.0
"salt";"garlic";0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.354027456067006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20174926956806175;0.0;0.0;0.0;0.0
"salt";"onions";0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20359451708001747;0.0;0.0;0.0;0.0;0.0;0.0;0.20174926956806175;0.0;0.0;0.0;0.0
"sugar";"butter";0.2;0.0;0.0;0.0;2.748256136249141;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.3820721893925274;0.0;0.0
"salt";"flour";0.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.4655992317241107;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20174926956806175;0.0;0.0;0.0;0.0
"salt";"olive oil";0.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6289155669591289;1.6289155669591289;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1344995130453745;0.0;0.0;0.0;0.0
