"Premises";"Conclusion";"Support";"Conclusion Premises:all";"Conclusion Premises:baking";"Conclusion Premises:black";"Conclusion Premises:butter";"Conclusion Premises:carrot";"Conclusion Premises:celeri";"Conclusion Premises:cinnamon";"Conclusion Premises:clove";"Conclusion Premises:cream";"Conclusion Premises:egg";"Conclusion Premises:flour";"Conclusion Premises:ground";"Conclusion Premises:honei";"Conclusion Premises:milk";"Conclusion Premises:onion";"Conclusion Premises:paprika";"Conclusion Premises:parslei";"Conclusion Premises:pepper";"Conclusion Premises:powder";"Conclusion Premises:purpose";"Conclusion Premises:root";"Conclusion Premises:sour";"Conclusion Premises:sugar";"Conclusion Premises:tomato";"Conclusion Premises:white";"Conclusion Premises:yolk"
"onion";"carrot";0.24;0.0;0.0;0.0;0.0;0.2532341591985175;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2593095680897738;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"sugar";"flour";0.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.374072329152044;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.202599953588629;0.0;0.0;0.0
"sugar";"egg";0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.290545286820461;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.202599953588629;0.0;0.0;0.0
"sugar";"butter";0.2;0.0;0.0;0.0;1.4473740662479817;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.202599953588629;0.0;0.0;0.0
"onion";"black pepper";0.18;0.0;0.0;0.17450703559325142;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17287304539318252;0.0;0.0;0.17450703559325142;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"egg";"butter";0.18;0.0;0.0;0.0;1.4473740662479817;0.0;0.0;0.0;0.0;0.0;1.290545286820461;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"egg";"flour";0.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.290545286820461;1.374072329152044;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"onion";"tomato";0.16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2593095680897738;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2532341591985175;0.0;0.0
"onion";"celeri root";0.16;0.0;0.0;0.0;0.0;0.0;0.16882277279901164;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17287304539318252;0.0;0.0;0.0;0.0;0.0;0.16882277279901164;0.0;0.0;0.0;0.0;0.0
"onion";"carrot , celeri root";0.16;0.0;0.0;0.0;0.0;0.12661707959925875;0.12661707959925875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1296547840448869;0.0;0.0;0.0;0.0;0.0;0.12661707959925875;0.0;0.0;0.0;0.0;0.0
