"Premises";"Conclusion";"Support";"Conclusion Premises:bean";"Conclusion Premises:black";"Conclusion Premises:brown";"Conclusion Premises:carrot";"Conclusion Premises:chopped";"Conclusion Premises:cilantro";"Conclusion Premises:cucumber";"Conclusion Premises:fish";"Conclusion Premises:fresh";"Conclusion Premises:green";"Conclusion Premises:ground";"Conclusion Premises:juice";"Conclusion Premises:leaf";"Conclusion Premises:lemongrass";"Conclusion Premises:lime";"Conclusion Premises:mint";"Conclusion Premises:noodle";"Conclusion Premises:oil";"Conclusion Premises:onion";"Conclusion Premises:peanut";"Conclusion Premises:pepper";"Conclusion Premises:rice";"Conclusion Premises:roasted";"Conclusion Premises:sauce";"Conclusion Premises:scallion";"Conclusion Premises:shallot";"Conclusion Premises:soi";"Conclusion Premises:sprout";"Conclusion Premises:sugar";"Conclusion Premises:vegetable";"Conclusion Premises:vinegar"
"fish sauce";"sugar";0.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17264769717828488;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0982665134068816;0.0;0.0;0.0;0.0;0.441472985800601;0.0;0.0
"fish sauce";"soi sauce";0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12948577288371366;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1473997701103224;0.0;0.0;0.44267651500755567;0.0;0.0;0.0;0.0
"fish sauce";"carrot";0.2;0.0;0.0;0.0;0.45508031730735277;0.0;0.0;0.0;0.17264769717828488;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0982665134068816;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"fish sauce";"cilantro";0.2;0.0;0.0;0.0;0.0;0.0;0.8657948777382303;0.0;0.17264769717828488;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0982665134068816;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"fish sauce";"lime juice";0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12948577288371366;0.0;0.0;0.0;0.5145970331205009;0.0;0.0;0.4945863562021168;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0736998850551612;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"fish sauce";"green onion";0.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12948577288371366;0.0;0.5601774223189896;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5601774223189896;0.0;0.0;0.0;0.0;0.0736998850551612;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"fish sauce";"cucumber";0.18;0.0;0.0;0.0;0.0;0.0;0.0;0.5158541695720043;0.17264769717828488;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0982665134068816;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"fish sauce";"lemongrass";0.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17264769717828488;0.0;0.0;0.0;0.0;0.0;1.2833825339033527;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0982665134068816;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"fish sauce";"lime";0.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17264769717828488;0.0;0.0;0.0;0.0;0.0;0.0;0.6594484749361557;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0982665134068816;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"carrot";"cucumber";0.18;0.0;0.0;0.0;0.6826204759610291;0.0;0.0;0.7737812543580065;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
