"Premises";"Conclusion";"Support";"Conclusion Premises:bean";"Conclusion Premises:black";"Conclusion Premises:brown";"Conclusion Premises:carrot";"Conclusion Premises:chopped";"Conclusion Premises:cilantro";"Conclusion Premises:clove";"Conclusion Premises:cucumber";"Conclusion Premises:fish";"Conclusion Premises:fresh";"Conclusion Premises:garlic";"Conclusion Premises:green";"Conclusion Premises:ground";"Conclusion Premises:juice";"Conclusion Premises:leaf";"Conclusion Premises:lemongrass";"Conclusion Premises:lime";"Conclusion Premises:mint";"Conclusion Premises:noodle";"Conclusion Premises:oil";"Conclusion Premises:onion";"Conclusion Premises:peanut";"Conclusion Premises:pepper";"Conclusion Premises:rice";"Conclusion Premises:roasted";"Conclusion Premises:salt";"Conclusion Premises:sauce";"Conclusion Premises:scallion";"Conclusion Premises:shallot";"Conclusion Premises:soi";"Conclusion Premises:sprout";"Conclusion Premises:sugar";"Conclusion Premises:vegetable";"Conclusion Premises:vinegar";"Conclusion Premises:water"
"fish sauce";"garlic";0.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.211290190210135;0.0;0.21612119264432397;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15615935864563282;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"fish sauce";"sugar";0.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.211290190210135;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15615935864563282;0.0;0.0;0.0;0.0;0.403878559023835;0.0;0.0;0.0
"garlic";"water";0.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.324181788966486;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7287353197938928
"fish sauce";"water";0.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.211290190210135;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15615935864563282;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48582354652926185
"fish sauce";"garlic clove";0.22;0.0;0.0;0.0;0.0;0.0;0.0;0.4893566477792181;0.0;0.15846764265760127;0.0;0.162090894483243;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11711951898422462;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"fish sauce";"soi sauce";0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15846764265760127;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23423903796844925;0.0;0.0;0.568126909439192;0.0;0.0;0.0;0.0;0.0
"fish sauce";"carrot";0.2;0.0;0.0;0.0;0.5143309376753158;0.0;0.0;0.0;0.0;0.211290190210135;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15615935864563282;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"fish sauce";"cilantro";0.2;0.0;0.0;0.0;0.0;0.0;1.1237066421416257;0.0;0.0;0.211290190210135;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15615935864563282;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"fish sauce";"lime juice";0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15846764265760127;0.0;0.0;0.0;0.0;0.46986626241179014;0.0;0.0;0.4761957144078626;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11711951898422462;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"garlic";"sugar";0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.324181788966486;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6058178385357526;0.0;0.0;0.0
